"所在地","緯度","経度","主銘文","紀年銘","願主銘","その他銘","造立年","高さ","幅","奥行","分類","写真"
"八王子市中野山王２丁目 子安神社",35.67649,139.32595,"日天 月天／妙法守護／金神 水神","明治十六年九月日","山田峯三郎",,1883,,,,"狭義","https://commons.wikimedia.org/wiki/File:妙法守護碑（八王子市・中野山王子安神社）.jpg"
"八王子市みなみ野３丁目 子安宮",35.62942,139.32724,"日天 月天／妙法守護／金神 水神","明治十八年十月","糠信氏",,1885,43,23,6,"狭義","https://commons.wikimedia.org/wiki/File:妙法守護碑（子安宮）.jpg"
"八王子市元八王子町１丁目",35.66621,139.28968,"（上部欠損）妙法守護／金神 水神",,,,,,,,"狭義","https://commons.wikimedia.org/wiki/File:妙法守護碑（八王子市元八王子町）.jpg"
"八王子市元八王子町１丁目 七面堂（日蓮宗）",35.66783,139.29064,"妙法大嶋明神守","明治十五年五月日","永井信明 講中",,1882,67,46,8,"広義","https://commons.wikimedia.org/wiki/File:妙法大嶋明神守碑（八王子市・七面堂）.jpg"
"八王子市元本郷町１丁目 善龍寺（日蓮宗）",35.66222,139.32299,"日天 月天／妙法守護／金神 水神","明治十五午年五月吉辰","横山茂兵衛","寄附一金七拾五圓",1882,77,41,7,"狭義","https://commons.wikimedia.org/wiki/File:妙法守護碑（八王子市・善龍寺）.jpg"
"町田市相原町",35.60574,139.33753,"日天 月天／妙法守護／金神 水神","明治十七年三月","牛久保氏",,1884,43,18,7,"狭義","https://commons.wikimedia.org/wiki/File:妙法守護碑（町田市相原町）.jpg"
"町田市相原町",35.6114,139.29728,"日天 月天／妙法守護／金神 水神","明治十六年三月","小林氏",,1883,,,,"狭義","https://commons.wikimedia.org/wiki/File:妙法守護碑（町田市相原町）2.jpg"
"町田市相原町 大戸観音堂（臨済宗）",35.61345,139.28902,"日天 妙法 月天／金神 水神","明治十六年三月","南多摩郡 相原村 松本菊蔵 ",,1883,33,18,9.5,"狭義","https://commons.wikimedia.org/wiki/File:妙法守護碑（町田市・大戸観音堂）.jpg"
"町田市相原町 七面堂（日蓮宗）",35.61204,139.29683,"妙法市明神","明治十五年九月","澁谷傳左ェ門",,1882,,,,"広義","https://commons.wikimedia.org/wiki/File:妙法市明神碑（町田市・七面堂）.jpg"
"町田市相原町 七面堂（日蓮宗）",35.61204,139.29683,"妙法守護雄神","明治十六年九月","施主 渋谷藤右衛門",,1883,,,,"広義","https://commons.wikimedia.org/wiki/File:妙法守護雄神碑（町田市・七面堂）.jpg"
